game_id,config,seat_0_agent,seat_1_agent,seat_2_agent,seat_3_agent,placement_1,placement_2,placement_3,placement_4
2369,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,Neural_MLP_SELF,PUCT,History,Neural_MLP,Neural_MLP_SELF,PUCT,History
2368,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP_SELF,Neural_MLP,PUCT,Neural_MLP_SELF,Neural_MLP,History,PUCT
2370,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,Neural_MLP,PUCT,History,PUCT,Neural_MLP,Neural_MLP_SELF,History
2371,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,PUCT,History,Neural_MLP,PUCT,History,Neural_MLP_SELF,Neural_MLP
2373,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP_SELF,Neural_MLP,PUCT,Neural_MLP,Neural_MLP_SELF,PUCT,History
2372,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,PUCT,History,Neural_MLP_SELF,PUCT,History,Neural_MLP_SELF,Neural_MLP
2374,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP,PUCT,Neural_MLP_SELF,Neural_MLP_SELF,Neural_MLP,PUCT,History
2375,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP,PUCT,Neural_MLP_SELF,Neural_MLP_SELF,PUCT,Neural_MLP,History
2376,History_Neural_MLP_Neural_MLP_SELF_PUCT,PUCT,Neural_MLP,Neural_MLP_SELF,History,History,Neural_MLP,Neural_MLP_SELF,PUCT
2378,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,PUCT,Neural_MLP_SELF,Neural_MLP,Neural_MLP,Neural_MLP_SELF,History,PUCT
2377,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,History,PUCT,Neural_MLP_SELF,Neural_MLP,Neural_MLP_SELF,History,PUCT
2380,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,History,PUCT,Neural_MLP_SELF,Neural_MLP_SELF,PUCT,History,Neural_MLP
2379,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,History,Neural_MLP_SELF,PUCT,History,Neural_MLP,Neural_MLP_SELF,PUCT
2382,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP,PUCT,Neural_MLP_SELF,History,Neural_MLP_SELF,PUCT,Neural_MLP
2381,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,History,PUCT,Neural_MLP,Neural_MLP_SELF,History,Neural_MLP,PUCT
2383,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,PUCT,Neural_MLP,Neural_MLP_SELF,Neural_MLP_SELF,PUCT,Neural_MLP,History
2384,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,PUCT,Neural_MLP_SELF,History,Neural_MLP,History,Neural_MLP_SELF,PUCT
2385,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,PUCT,History,Neural_MLP_SELF,History,Neural_MLP,Neural_MLP_SELF,PUCT
2386,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,PUCT,Neural_MLP_SELF,Neural_MLP,Neural_MLP,Neural_MLP_SELF,History,PUCT
2387,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,History,PUCT,Neural_MLP,History,Neural_MLP_SELF,PUCT,Neural_MLP
2389,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP_SELF,Neural_MLP,PUCT,Neural_MLP_SELF,Neural_MLP,PUCT,History
2388,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP_SELF,Neural_MLP,PUCT,Neural_MLP,Neural_MLP_SELF,PUCT,History
2390,History_Neural_MLP_Neural_MLP_SELF_PUCT,PUCT,Neural_MLP,Neural_MLP_SELF,History,Neural_MLP_SELF,Neural_MLP,History,PUCT
2391,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,PUCT,Neural_MLP_SELF,Neural_MLP,Neural_MLP_SELF,History,PUCT,Neural_MLP
2392,History_Neural_MLP_Neural_MLP_SELF_PUCT,PUCT,Neural_MLP_SELF,History,Neural_MLP,Neural_MLP_SELF,History,PUCT,Neural_MLP
2394,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,History,PUCT,Neural_MLP,Neural_MLP_SELF,Neural_MLP,PUCT,History
2393,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,Neural_MLP_SELF,PUCT,History,History,Neural_MLP,PUCT,Neural_MLP_SELF
2398,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP_SELF,Neural_MLP,PUCT,Neural_MLP_SELF,Neural_MLP,History,PUCT
2395,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,Neural_MLP,PUCT,History,PUCT,Neural_MLP,History,Neural_MLP_SELF
2397,History_Neural_MLP_Neural_MLP_SELF_PUCT,PUCT,History,Neural_MLP_SELF,Neural_MLP,PUCT,History,Neural_MLP,Neural_MLP_SELF
2396,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,Neural_MLP,History,PUCT,Neural_MLP,Neural_MLP_SELF,PUCT,History
2399,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,PUCT,Neural_MLP,History,History,Neural_MLP,Neural_MLP_SELF,PUCT
2400,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,PUCT,Neural_MLP,Neural_MLP_SELF,Neural_MLP_SELF,PUCT,Neural_MLP,History
2402,History_Neural_MLP_Neural_MLP_SELF_PUCT,PUCT,Neural_MLP,Neural_MLP_SELF,History,Neural_MLP,Neural_MLP_SELF,History,PUCT
2401,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,PUCT,History,Neural_MLP,History,Neural_MLP,Neural_MLP_SELF,PUCT
2403,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,Neural_MLP,PUCT,History,PUCT,Neural_MLP_SELF,History,Neural_MLP
2404,History_Neural_MLP_Neural_MLP_SELF_PUCT,PUCT,History,Neural_MLP,Neural_MLP_SELF,Neural_MLP_SELF,Neural_MLP,PUCT,History
2406,History_Neural_MLP_Neural_MLP_SELF_PUCT,PUCT,Neural_MLP_SELF,History,Neural_MLP,PUCT,Neural_MLP_SELF,History,Neural_MLP
2405,History_Neural_MLP_Neural_MLP_SELF_PUCT,PUCT,Neural_MLP_SELF,History,Neural_MLP,Neural_MLP,Neural_MLP_SELF,PUCT,History
2407,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP_SELF,Neural_MLP,PUCT,History,Neural_MLP,Neural_MLP_SELF,PUCT
2408,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP,PUCT,Neural_MLP_SELF,PUCT,Neural_MLP_SELF,Neural_MLP,History
2409,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,Neural_MLP,History,PUCT,Neural_MLP,History,Neural_MLP_SELF,PUCT
2410,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,Neural_MLP_SELF,PUCT,History,History,Neural_MLP,Neural_MLP_SELF,PUCT
2411,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,PUCT,Neural_MLP,History,History,PUCT,Neural_MLP,Neural_MLP_SELF
2412,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,PUCT,Neural_MLP,Neural_MLP_SELF,History,Neural_MLP,Neural_MLP_SELF,PUCT
2414,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,History,PUCT,Neural_MLP_SELF,Neural_MLP_SELF,History,Neural_MLP,PUCT
